"name","url"
"Kingman, John","https://en.wikipedia.org/wiki/John_Kingman"
"Kish, Leslie","https://en.wikipedia.org/wiki/Leslie_Kish"
"Knibbs, George Handley","https://en.wikipedia.org/wiki/George_Handley_Knibbs"
"Kočović, Bogoljub","https://en.wikipedia.org/wiki/Bogoljub_Ko%C4%8Dovi%C4%87"
"Kolmogorov, Andrey Nikolaevich","https://en.wikipedia.org/wiki/Andrey_Kolmogorov"
"Koopman, Bernard","https://en.wikipedia.org/wiki/Bernard_Koopman"
"Kott, Phillip","https://en.wikipedia.org/wiki/Phillip_Kott"
"Krewski, Dan","https://en.wikipedia.org/wiki/Dan_Krewski"
"Krumbein, William C.","https://en.wikipedia.org/wiki/William_C._Krumbein"
"Kruskal, Joseph","https://en.wikipedia.org/wiki/Joseph_Kruskal"
"Kruskal, William","https://en.wikipedia.org/wiki/William_Kruskal"
"Krüger, André","https://en.wikipedia.org/wiki/Andr%C3%A9_Kr%C3%BCger"
"Kuczynski, Robert René","https://en.wikipedia.org/wiki/Robert_Ren%C3%A9_Kuczynski"
"Kulischer, Eugene M.","https://en.wikipedia.org/wiki/Eugene_M._Kulischer"
"Kullback, Solomon","https://en.wikipedia.org/wiki/Solomon_Kullback"
"Kulldorff, Gunnar","https://en.wikipedia.org/wiki/Gunnar_Kulldorff"
"Künsch, Hans-Rudolf","https://en.wikipedia.org/wiki/Hans-Rudolf_K%C3%BCnsch"
"Kurnow, Ernest","https://en.wikipedia.org/wiki/Ernest_Kurnow"
"Kuzmicich, Steve","https://en.wikipedia.org/wiki/Steve_Kuzmicich"
"Kuznets, Simon","https://en.wikipedia.org/wiki/Simon_Kuznets"
"Lah, Ivo","https://en.wikipedia.org/wiki/Ivo_Lah"
"Laird, Nan","https://en.wikipedia.org/wiki/Nan_Laird"
"Laslett, Peter","https://en.wikipedia.org/wiki/Peter_Laslett"
"Laspeyres, Étienne","https://en.wikipedia.org/wiki/%C3%89tienne_Laspeyres"
"Lathrop, Mark","https://en.wikipedia.org/wiki/Mark_Lathrop"
"Law, John","https://en.wikipedia.org/wiki/John_Law_(economist)"
"Lawler, Gregory Francis","https://en.wikipedia.org/wiki/Greg_Lawler"
"Lawrence, Charles","https://en.wikipedia.org/wiki/Charles_Lawrence_(mathematician)"
"Lehmann, Erich Leo","https://en.wikipedia.org/wiki/Erich_Leo_Lehmann"
"Lemon, Charles","https://en.wikipedia.org/wiki/Charles_Lemon"
